address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
209 E Washington St,5040,2,0,3,1295017,Bloomington,-1,-1.0,30,239900,Condo/Townhome/Row Home/Co-Op,5815,61701
2715 Piney Run,1279681,3,1,3,1571726,Bloomington,2,-1.0,30,299900,Single Family Home,3984,61705
712 E Buchanan St,4500,2,0,4,1571726,Bloomington,2,-1.0,28,140000,Single Family Home,1532,61701
1610 S Madison St,2263231,1,1,3,1207437,Bloomington,1,-1.0,22,114000,Single Family Home,1800,61701
2008 Sinclair Ct,1440163,3,1,5,1571726,Bloomington,3,-1.0,22,399900,Single Family Home,4027,61704
1303 W Jackson St,1295083,2,0,2,1295017,Bloomington,1,-1.0,13,59900,Single Family Home,1811,61701
29 Crista Ann Ct,1231319,2,0,2,1295017,Bloomington,2,-1.0,1,288500,Single Family Home,3570,61704
2104 Berrywood Ln,1207544,3,1,4,1207437,Bloomington,2,-1.0,30,264900,Single Family Home,4114,61704
9 Kenfield Cir,425443,3,0,4,1571726,Bloomington,2,-1.0,27,174900,Single Family Home,1570,61704
8130 E 1000 North Rd,1207553,1,0,3,712753,Bloomington,2,52707.6,18,159900,Single Family Home,2226,61705
1306 Beverly Ln,192211,1,0,2,1280142,Bloomington,1,-1.0,16,95000,Single Family Home,785,61701
9899 Old Sawmill Rd,591989,4,0,5,1280142,Bloomington,3,45302.4,30,460000,Single Family Home,5586,61705
57 Stonebrook Ct,4783,4,1,5,1571726,Bloomington,3,-1.0,30,557700,Single Family Home,5267,61704
1421 W Market St,1571756,2,0,2,712753,Bloomington,3,-1.0,30,95000,Single Family Home,1824,61701
302 Mecherle Dr,3106632,2,0,4,-1,Bloomington,1,12632.4,30,139900,Single Family Home,3654,61701
4 Weaver Ct,1571741,2,2,4,1571726,Bloomington,3,-1.0,30,399000,Single Family Home,4580,61704
811 W Monroe St,1571752,2,0,3,1571726,Bloomington,-1,-1.0,28,79900,Single Family Home,2036,61701
215 S Florence Ave,1301728,2,0,2,1280142,Bloomington,2,-1.0,28,129900,Single Family Home,1810,61701
1104 E Jefferson St,1427353,4,0,5,1280142,Bloomington,2,-1.0,30,279900,Single Family Home,6035,61701
14856 N 975 Rd E,1207563,3,0,4,1207437,Bloomington,3,119354.40000000001,30,459000,Single Family Home,4782,61705
1215 Rutledge Rd,1416095,1,0,3,1571726,Bloomington,1,-1.0,30,126900,Single Family Home,2080,61704
1308 Nicki Dr,1501366,3,0,4,3054550,Bloomington,2,-1.0,30,159900,Single Family Home,3127,61704
18 Knollbrook Ct,7995,3,1,5,3054550,Bloomington,3,-1.0,30,359900,Single Family Home,4475,61705
20141 Sterling Rd,1345179,3,1,5,1207437,Bloomington,3,64468.799999999996,30,549900,Single Family Home,5238,61705
1302 Pinehurst Dr,1295099,1,0,3,1295017,Bloomington,1,-1.0,27,109900,Single Family Home,1782,61704
65 Oak Park Rd,1193279,2,1,3,1571726,Bloomington,2,-1.0,26,139900,Single Family Home,2068,61701
5101 Londonderry Rd,283157,3,1,4,1207437,Bloomington,3,-1.0,26,289999,Single Family Home,3436,61705
2502 Timber View Dr,964233,3,0,3,1571726,Bloomington,2,7405,24,124900,Single Family Home,2152,61701
911 N Oak St,1265113,1,1,2,1571726,Bloomington,4,-1.0,24,99900,Single Family Home,2048,61701
7 Misty Ln,1824976,2,0,2,1571726,Bloomington,2,-1.0,18,169900,Single Family Home,2338,61705
518 S Florence Ave,1646965,2,0,2,1571726,Bloomington,1,-1.0,14,89900,Single Family Home,1904,61701
1931 Glenbridge Rd,911852,2,1,2,1280142,Bloomington,2,-1.0,1,179900,Single Family Home,2210,61704
2411 Grey Fox Trl,1292818,3,1,4,1295017,Bloomington,2,-1.0,30,214900,Single Family Home,3103,61705
16 Aspen Ct,921514,2,1,3,1280142,Bloomington,2,-1.0,30,248900,Single Family Home,4040,61704
3215 Viney Ln,1207544,2,2,4,1207437,Bloomington,3,6098,30,318900,Single Family Home,5148,61704
8 Cave Creek Ct,1301728,2,1,4,1280142,Bloomington,2,-1.0,29,214900,Single Family Home,3618,61704
509 Seville Rd,1295084,3,0,3,1295017,Bloomington,2,-1.0,28,199900,Single Family Home,3180,61701
123 Manor Cir,1440163,3,1,2,1571726,Bloomington,2,-1.0,28,249000,Condo/Townhome/Row Home/Co-Op,3008,61704
610 S Florence Ave,1855850,1,0,2,1280142,Bloomington,1,-1.0,25,120000,Single Family Home,1852,61701
1715 Indiana St,2739472,1,1,3,1571726,Bloomington,-1,-1.0,16,92500,Single Family Home,1117,61701
1929 Glenbridge Rd,1855850,2,1,2,1280142,Bloomington,2,-1.0,1,175000,Single Family Home,2210,61704
611 S Vale St,2724324,1,0,2,1571726,Bloomington,2,-1.0,30,148900,Single Family Home,1800,61701
5001 Fleming Ln,4396,3,1,4,1295017,Bloomington,3,-1.0,30,279900,Single Family Home,3548,61705
3 Kenyon Ct,3106632,2,1,4,-1,Bloomington,2,10890.0,30,229900,Single Family Home,3223,61701
3 Devon Rd,744586,3,0,4,3054550,Bloomington,2,-1.0,30,189900,Single Family Home,2338,61704
3503 Gabby Dr,7995,2,1,5,3054550,Bloomington,3,-1.0,30,285000,Single Family Home,3580,61704
5 Canterbury Ct,1613798,3,1,3,1571726,Bloomington,3,-1.0,30,300000,Single Family Home,4239,61701
10 Cameron Ct,692040,2,1,4,1295017,Bloomington,3,-1.0,30,244900,Single Family Home,3134,61704
14714 Brian Dr,1253576,1,0,3,1207437,Bloomington,1,-1.0,23,116900,Single Family Home,1040,61705
5305 Ferryman Rd,1329957,3,1,5,1571726,Bloomington,3,-1.0,1,294900,Single Family Home,3282,61705
3604 Connie Kay Way,1440163,3,1,4,1571726,Bloomington,3,-1.0,30,334900,Single Family Home,4324,61704
3320 Golden Eagle Rd,1207554,3,1,4,3054550,Bloomington,3,-1.0,30,289900,Single Family Home,3774,61704
1701 Glenbridge Rd,192211,2,1,3,1280142,Bloomington,2,-1.0,30,185000,Single Family Home,2501,61704
19302 Wood Dale Holw,172711,2,1,4,1207437,Bloomington,2,54450.0,29,274900,Single Family Home,4638,61705
1324 Sherman St,1388808,2,0,4,712753,Bloomington,2,-1.0,25,143000,Single Family Home,3072,61701
2513 Grey Fox Trl,803691,2,1,4,1295017,Bloomington,3,-1.0,24,239900,Single Family Home,3223,61705
1224 Gettysburg Dr,1388808,1,1,3,712753,Bloomington,1,-1.0,30,123900,Single Family Home,2723,61704
1007 E Jefferson St,1220379,4,2,6,1295017,Bloomington,5,-1.0,30,359900,Single Family Home,6454,61701
2806 Alana Way,418519,3,1,5,1571726,Bloomington,3,-1.0,30,399900,Single Family Home,4407,61704
1204 5 N Lee,2132169,1,0,3,1571726,Bloomington,1,-1.0,30,78900,Single Family Home,1440,61701
3103 Eagle Crest Rd,1571741,3,1,4,1571726,Bloomington,2,9148,29,234900,Single Family Home,3693,61704
1104 S Center St,14862,1,1,5,-1,Bloomington,-1,-1.0,15,80000,Single Family Home,2537,61701
29 Lake Ridge Ct,1295086,0,0,0,1295017,Bloomington,-1,-1.0,5,40000,Land,-1.0,61701
1237 Mount Vernon Dr,7995,2,0,3,3054550,Bloomington,1,-1.0,30,99900,Single Family Home,1550,61704
6 Navajo Ct,420364,3,1,4,1280142,Bloomington,2,-1.0,30,179900,Single Family Home,2450,61704
510 W Oakland Ave,470068,1,1,3,1207437,Bloomington,2,-1.0,30,77500,Single Family Home,2039,61701
1211 Willow Creek Rd,1571756,3,1,5,712753,Bloomington,3,-1.0,30,350000,Single Family Home,3670,61704
704 W Macarthur Ave,950922,1,0,3,1207437,Bloomington,-1,-1.0,27,94900,Single Family Home,1840,61701
102 Van Schoick St,1571741,2,0,3,1571726,Bloomington,2,-1.0,27,134900,Single Family Home,1632,61701
814 S Mercer Ave,692040,2,1,4,1295017,Bloomington,1,-1.0,26,157900,Single Family Home,3035,61701
314 W Kelsey St,2743947,2,0,4,1280142,Bloomington,2,-1.0,21,132900,Single Family Home,3000,61701
Briar Lot 1,111130,0,0,0,1207437,Bloomington,-1,74052.0,3,198500,Land,-1.0,61705
5107 Longfield Dr,2963332,3,1,5,1571726,Bloomington,3,8712,30,315900,Single Family Home,3389,61705
8 Brownstone Ct,744586,2,1,4,3054550,Bloomington,3,-1.0,30,249900,Single Family Home,3264,61704
809 N Morris Ave,7995,1,1,2,3054550,Bloomington,3,-1.0,30,122000,Single Family Home,1665,61701
1306 Eastport Dr,1346837,2,1,3,1280142,Bloomington,2,-1.0,30,169900,Single Family Home,2619,61704
3114 Preston Dr,748021,2,1,4,1207437,Bloomington,2,-1.0,29,239900,Single Family Home,3648,61704
1505 Bay View Ln,1295086,2,1,4,1295017,Bloomington,2,-1.0,28,194900,Single Family Home,2950,61704
2804 Huntington Rd,692040,2,1,4,1295017,Bloomington,2,-1.0,28,249900,Single Family Home,3706,61704
1407 Ridgeport Ave,1231308,2,0,4,1295017,Bloomington,1,-1.0,28,139000,Single Family Home,2266,61704
1304 S Oak St,1221216,1,0,3,1280142,Bloomington,2,-1.0,28,87000,Single Family Home,1507,61701
1620 Martin Luther King Dr,21881,2,1,3,1571726,Bloomington,2,-1.0,17,124900,Single Family Home,1769,61701
309 Meadows Ave,921510,2,0,3,-1,Bloomington,1,6534,1,69900,Single Family Home,1728,61701
2201 Foxtail Rd,420364,4,1,5,1280142,Bloomington,3,-1.0,37,369900,Single Family Home,5074,61704
2104 Altoona Rd,523674,2,0,3,712753,Bloomington,2,-1.0,30,209900,Single Family Home,2964,61705
2824 Gill St,7995,2,1,3,3054550,Bloomington,2,-1.0,30,159900,Single Family Home,2486,61704
1606 Whitmer Ct,2051691,3,1,5,1295017,Bloomington,3,-1.0,30,269500,Single Family Home,3432,61704
21 Waterside Cir,71546,3,1,4,1295017,Bloomington,3,-1.0,30,339000,Single Family Home,4218,61704
1408 N Oak St,1571752,2,0,3,1571726,Bloomington,-1,-1.0,29,119000,Single Family Home,1788,61701
3 Hearthstone Ct,1194148,2,1,4,-1,Bloomington,2,-1.0,25,249900,Single Family Home,3749,61704
903 W Macarthur Ave,21881,1,0,2,1571726,Bloomington,-1,-1.0,24,76000,Single Family Home,1572,61701
1110 Woodbury Pl,1916027,2,0,3,1571726,Bloomington,2,-1.0,20,145000,Single Family Home,2500,61701
1313 E Oakland Ave,1956224,1,0,2,712753,Bloomington,2,-1.0,16,125000,Single Family Home,1923,61701
1800 East Rd,1319879,0,0,0,1571726,Bloomington,-1,4343367.6,1,897390,Land,-1.0,61704
13 Dawes Pl,1265113,1,0,2,1571726,Bloomington,-1,-1.0,30,124900,Single Family Home,1782,61701
1227 E Jefferson St,1388808,3,0,3,712753,Bloomington,4,-1.0,30,185000,Single Family Home,2699,61701
1408 Royal Pointe Dr,159571,3,1,4,1571726,Bloomington,2,-1.0,30,216999,Single Family Home,3286,61704
30 Breckenwood Ct,523674,2,1,4,712753,Bloomington,2,-1.0,29,177000,Single Family Home,2702,61704
3509 Gabby Dr,1263684,3,1,5,1571726,Bloomington,3,-1.0,28,329900,Single Family Home,4023,61704
8805 Mill Creek Rd,1193279,3,0,3,1571726,Bloomington,2,33105.6,24,184900,Single Family Home,3356,61705
2814 Rocksbury Dr,1207568,2,1,3,1207437,Bloomington,2,-1.0,10,148000,Single Family Home,2603,61705
1109 Elmwood Rd,1571754,2,1,3,1571726,Bloomington,2,-1.0,2,249900,Single Family Home,2168,61701
913 S Center St,7995,0,0,4,3054550,Bloomington,-1,-1.0,30,80000,Multi-Family Home,2446,61701
2804 Longmeadow Ln,1805631,2,1,4,1571726,Bloomington,2,-1.0,30,229900,Single Family Home,2747,61704
16034 Garnet Ln,1345179,3,0,4,1207437,Bloomington,3,27878.4,30,349900,Single Family Home,4736,61705
2603 Wedgewood Rd,182757,3,1,3,1571726,Bloomington,3,-1.0,30,279900,Single Family Home,4100,61704
1 Harwood Pl,1200611,2,0,3,1571726,Bloomington,2,-1.0,30,172900,Single Family Home,2208,61701
2902 Spangle Rd,5295,2,1,4,1207437,Bloomington,3,-1.0,29,227900,Single Family Home,3088,61705
1307 Challis Dr,1855850,1,1,3,1280142,Bloomington,1,-1.0,28,99900,Single Family Home,1591,61704
1201 Chatham Ln,1231308,2,1,4,1295017,Bloomington,2,-1.0,27,180000,Single Family Home,2850,61704
22 Lone Oak Ct,523649,2,1,4,1295017,Bloomington,2,-1.0,26,189900,Single Family Home,2829,61705
22 Lone Oak Ct,523649,2,1,4,1295017,Bloomington,2,-1.0,26,189900,Single Family Home,2829,61705
2806 Gill St,1990797,3,1,3,1571726,Bloomington,2,-1.0,25,159900,Single Family Home,2215,61704
1618 Keybridge Way,5184,2,1,3,3054550,Bloomington,2,-1.0,18,273900,Single Family Home,3756,61704
704 E Taylor St,5040,0,0,2,1295017,Bloomington,-1,-1.0,12,104500,Multi-Family Home,2562,61701
1503 E Grove St,2729549,2,1,4,1571726,Bloomington,2,-1.0,6,247900,Single Family Home,3082,61701
1007 N Oak St,4500,1,0,1,1571726,Bloomington,-1,-1.0,21,50000,Single Family Home,2099,61701
2913 Mockingbird Ln,2046247,1,1,4,712753,Bloomington,2,-1.0,14,150000,Single Family Home,2268,61704
9075 Deer Ridge Dr,1265113,4,2,5,1571726,Bloomington,3,47044.8,30,399900,Single Family Home,6540,61705
2003 E Jackson St,7995,1,1,3,3054550,Bloomington,2,-1.0,30,159900,Single Family Home,2160,61701
1223 Broad Creek Rd,4396,3,1,5,1295017,Bloomington,3,-1.0,30,289875,Single Family Home,4032,61704
711 E Taylor St,523645,1,0,3,1280142,Bloomington,1,-1.0,29,102700,Single Family Home,2640,61701
45 Breckenwood Ct,1345180,3,1,4,-1,Bloomington,2,-1.0,26,189900,Single Family Home,2702,61704
1306 Ewing St,2258993,2,1,3,-1,Bloomington,2,-1.0,24,159000,Single Family Home,3720,61701
2214 Knollbrook Way,1220379,2,1,3,1295017,Bloomington,3,-1.0,24,364900,Single Family Home,5068,61705
1009 Gerike Way,1345180,3,0,3,-1,Bloomington,2,-1.0,20,215000,Single Family Home,3180,61704
3 Misty Ln,1987183,2,0,2,1295017,Bloomington,1,-1.0,15,179900,Single Family Home,2330,61705
2905 Spangle Rd,1855850,3,1,4,1280142,Bloomington,2,-1.0,30,255000,Single Family Home,3394,61705
21 Geneva Ct,7995,1,0,3,3054550,Bloomington,2,-1.0,30,129900,Single Family Home,1056,61704
3 Turtleback Ct,21881,4,1,5,1571726,Bloomington,3,-1.0,30,319900,Single Family Home,4422,61705
4 Treyburn Ct,21881,3,1,5,1571726,Bloomington,3,-1.0,29,324900,Single Family Home,3939,61704
3508 Zachary Ln,1345180,2,1,5,-1,Bloomington,3,-1.0,24,314900,Single Family Home,4098,61704
703 Bradley Dr,1295133,2,0,3,1295017,Bloomington,2,-1.0,9,139900,Single Family Home,2806,61701
16 Red Maple Ct,1263684,3,1,6,1571726,Bloomington,3,-1.0,1,356900,Single Family Home,4458,61705
1606 Six Points Rd,1501366,3,0,4,3054550,Bloomington,4,47916.00000000001,30,274900,Single Family Home,3546,61701
2307 Woodhavens Dr,1345180,2,0,3,-1,Bloomington,2,-1.0,28,178000,Single Family Home,3306,61701
1111 E Jefferson St Apt 1,744586,2,0,2,3054550,Bloomington,1,-1.0,23,86000,Condo/Townhome/Row Home/Co-Op,1147,61701
1812 E Lafayette St,1117728,1,0,3,1571726,Bloomington,1,-1.0,23,112900,Single Family Home,1051,61701
1040 Ekstam Dr Apt 208,2206294,2,0,2,1280142,Bloomington,-1,-1.0,21,74500,Condo/Townhome/Row Home/Co-Op,979,61704
2803 Rainbow Ave,1295094,2,1,3,1207437,Bloomington,3,-1.0,20,184900,Single Family Home,2808,61704
3410 Cornelius Dr,1319879,2,0,3,1571726,Bloomington,2,-1.0,20,145900,Single Family Home,2472,61704
811 W Grove St,1207568,2,0,3,1207437,Bloomington,2,-1.0,19,50000,Single Family Home,2843,61701
1942-1948 Glenbridge,911852,0,0,12,1280142,Bloomington,-1,-1.0,1,520000,Multi-Family Home,9000,61704
3613 Rave Rd,420364,3,1,4,1280142,Bloomington,3,-1.0,34,319900,Single Family Home,3851,61704
3301 Eagle Crest Rd,5187,2,1,4,1571726,Bloomington,3,-1.0,30,249900,Single Family Home,3638,61704
2 White Cliff Ct,523674,3,0,5,712753,Bloomington,3,22651.2,30,425000,Single Family Home,4460,61705
1 Dawes Pl,1938118,1,1,3,1207437,Bloomington,1,-1.0,28,133900,Single Family Home,2298,61701
1401 Kickapoo Creek Rd,2047335,2,1,3,712753,Bloomington,2,-1.0,22,239900,Single Family Home,2888,61705
9645 Ridgewood Ct,1105956,2,1,3,-1,Bloomington,2,-1.0,19,219900,Single Family Home,2262,61705
1601 S Center St,471011,1,0,3,1295017,Bloomington,1,-1.0,10,28900,Single Family Home,2254,61701
1503Paddington Dr,1907880,2,1,4,1207437,Bloomington,2,-1.0,30,212900,Single Family Home,3350,61704
28 Buckhurst Cir,2202955,2,1,4,1280142,Bloomington,2,-1.0,30,339000,Single Family Home,4060,61704
26 Stonehedges Ct,523674,3,1,4,712753,Bloomington,3,17424.0,30,429900,Single Family Home,9894,61705
26 Knollbrook Ct,523674,3,1,5,712753,Bloomington,3,-1.0,29,339900,Single Family Home,3941,61705
3301 Brittany Cir,1263684,3,1,4,1571726,Bloomington,3,-1.0,28,244900,Single Family Home,3627,61704
53 Vermont Ave,1495704,2,1,4,1295017,Bloomington,2,-1.0,30,165000,Single Family Home,2778,61701
117 Meadowbrook Dr,523649,1,0,3,1295017,Bloomington,1,-1.0,12,116900,Single Family Home,1102,61701
3802 Baldocchi Dr,1571756,3,1,4,712753,Bloomington,3,-1.0,30,305000,Single Family Home,3787,61704
1310 Guiness Dr,1222350,3,1,5,712753,Bloomington,3,-1.0,30,369000,Single Family Home,4027,61705
5 Greythorne Cir,7995,2,1,4,3054550,Bloomington,3,-1.0,30,255000,Single Family Home,3506,61704
2802 Stevenson Dr,1571741,4,0,6,1571726,Bloomington,3,-1.0,30,419900,Single Family Home,4497,61704
2802 Stevenson Dr,1571741,4,0,6,1571726,Bloomington,3,-1.0,30,419900,Single Family Home,4497,61704
2818 Huntington Rd,283157,3,1,4,1207437,Bloomington,2,-1.0,26,259999,Single Family Home,3663,61704
308 Maizefield Ave,1193279,1,0,2,1571726,Bloomington,1,-1.0,15,84900,Single Family Home,702,61701
3101 Fiona Way,1231308,4,1,6,1295017,Bloomington,3,-1.0,30,699900,Single Family Home,5982,61704
1816 E Lafayette St,7995,1,0,3,3054550,Bloomington,1,-1.0,30,123900,Single Family Home,1190,61701
17 Sable Oaks Ct,523674,4,1,5,712753,Bloomington,3,26571.6,30,450000,Single Family Home,5929,61704
209 Fleetwood Dr,7995,3,1,4,3054550,Bloomington,2,-1.0,30,220000,Single Family Home,3100,61701
3624 Pamela Dr,1887425,3,1,5,1280142,Bloomington,3,-1.0,27,375000,Single Family Home,3312,61704
1009 Bach Dr,911852,3,1,4,1280142,Bloomington,3,-1.0,4,279900,Single Family Home,2899,61704
5006 Longfield Rd,1374072,3,1,5,1571726,Bloomington,3,-1.0,30,319900,Single Family Home,3333,61705
57 Pebblebrook Ct,1346837,4,1,5,1280142,Bloomington,3,15681.599999999999,30,499900,Single Family Home,3779,61705
11 Rock Garden Ct,1501366,3,1,4,3054550,Bloomington,2,-1.0,30,259900,Single Family Home,3070,61704
19704 Newgate St,1231308,3,1,5,1295017,Bloomington,2,-1.0,30,300000,Single Family Home,4110,61705
15852 Kingswood Dr,881654,3,0,3,1280142,Bloomington,2,31798.8,28,199900,Single Family Home,3080,61705
508 E Olive St,2202955,1,0,3,1280142,Bloomington,-1,-1.0,14,60000,Single Family Home,1820,61701
705 W Washington St,2062462,0,0,4,-1,Bloomington,-1,-1.0,7,109900,Multi-Family Home,3892,61701
4011 Sutter Rd,911852,3,1,5,1280142,Bloomington,3,-1.0,5,449900,Single Family Home,3854,61705
3101 Sable Oaks Rd,1193279,3,1,5,1571726,Bloomington,3,-1.0,1,297900,Single Family Home,4370,61704
Fox Creek Vlg Lot 72,523649,0,0,0,1295017,Bloomington,-1,-1.0,0,39000,Land,-1.0,61705
Fox Crk Lot 539,523649,0,0,0,1295017,Bloomington,-1,-1.0,0,72500,Land,-1.0,61705
Fox Creek Vlg Lot 71,523649,0,0,0,1295017,Bloomington,-1,-1.0,0,39000,Land,-1.0,61705
Fox Crk Lot 393,523649,0,0,0,1295017,Bloomington,-1,-1.0,0,47500,Land,-1.0,61705
Fox Creek Vlg Lot 68,523649,0,0,0,1295017,Bloomington,-1,-1.0,0,39000,Land,-1.0,61705
3912 Baywood Rd,1329957,2,1,4,1571726,Bloomington,3,-1.0,30,319900,Single Family Home,4960,61705
1315 Winterberry Cir,921514,3,1,5,1280142,Bloomington,3,10454.4,30,389500,Single Family Home,3596,61705
802 W Oakland Ave,523649,1,1,4,1295017,Bloomington,1,-1.0,29,99900,Single Family Home,2505,61701
1216 S Oak St,430485,1,0,2,3054550,Bloomington,-1,-1.0,27,59000,Single Family Home,804,61701
602 E Jefferson St,6449,0,0,5,1571726,Bloomington,-1,-1.0,18,49900,Multi-Family Home,3300,61701
1212 N Roosevelt Ave,523674,1,0,2,712753,Bloomington,1,-1.0,15,82500,Single Family Home,1972,61701
305 S McLean St,15043,1,0,3,1295017,Bloomington,1,-1.0,14,79900,Single Family Home,3144,61701
518 W Grv,2723886,0,0,7,-1,Bloomington,-1,-1.0,1,63900,Multi-Family Home,4650,61761
11 Ivey Ct,1548431,1,1,3,1280142,Bloomington,1,-1.0,27,128500,Single Family Home,2016,61701
3104 Bristol Dr,1646092,2,1,4,3054550,Bloomington,2,-1.0,30,234900,Single Family Home,4000,61704
805 Lake Fork Rd,1222389,3,1,4,1280142,Bloomington,2,-1.0,27,167000,Single Family Home,3062,61704
1403 N Oak St,1704314,1,0,3,712753,Bloomington,2,-1.0,11,89900,Single Family Home,1396,61701
Cedar Rdg Lot 52,523649,0,0,0,1295017,Bloomington,-1,-1.0,0,39900,Land,-1.0,61704
Cedar Rdg Lot 54,523649,0,0,0,1295017,Bloomington,-1,-1.0,0,39900,Land,-1.0,61704
23 Palm Ct,5184,2,1,3,3054550,Bloomington,2,-1.0,1,179900,Single Family Home,2611,61701
8 Deerfield Ct,7995,3,1,4,3054550,Bloomington,3,-1.0,30,274900,Single Family Home,3604,61705
313 E Locust St,1118829,0,0,4,1571726,Bloomington,-1,-1.0,26,119900,Multi-Family Home,4531,61701
3403 Castlemain Dr,591989,3,1,4,1280142,Bloomington,2,-1.0,43,225000,Single Family Home,3127,61704
111 Rust Rd Apt 210,1571754,1,0,1,1571726,Bloomington,1,-1.0,30,69900,Condo/Townhome/Row Home/Co-Op,850,61701
1908 Oakwood Ave,1301728,3,1,4,1280142,Bloomington,2,-1.0,30,229900,Single Family Home,4149,61704
9101 N 1900 East Rd,523674,2,1,5,712753,Bloomington,3,152460.0,30,439900,Single Family Home,4392,61705
1301 Janet Dr,1855850,3,1,5,1280142,Bloomington,3,-1.0,30,420000,Single Family Home,4465,61704
304 S Hershey Rd,5040,2,2,4,1295017,Bloomington,2,-1.0,30,175000,Single Family Home,4454,61704
63 Astoria Way,937250,2,0,2,1295017,Bloomington,2,-1.0,30,139900,Single Family Home,1792,61704
1408 Broad Creek Rd,43657,3,1,3,1207437,Bloomington,3,-1.0,30,309500,Single Family Home,3988,61704
203 W Emerson St,1231308,2,1,4,1295017,Bloomington,2,-1.0,29,129000,Single Family Home,3476,61701
3913 Brookline Ln,425443,3,1,5,1571726,Bloomington,3,-1.0,22,274900,Single Family Home,4078,61705
1202 Prairie Ln,860512,1,0,3,712753,Bloomington,2,-1.0,14,119900,Single Family Home,1223,61701
26 Inglewood Ln,7995,2,1,3,3054550,Bloomington,2,-1.0,30,279000,Single Family Home,3188,61704
4 Willowbend Ct,65952,2,1,5,1571726,Bloomington,3,-1.0,30,241900,Single Family Home,3920,61705
704 S Moore St,1222389,3,1,4,1280142,Bloomington,3,-1.0,30,364900,Single Family Home,3780,61701
2504 Piney Run,6449,3,1,5,1571726,Bloomington,2,-1.0,30,299990,Single Family Home,4290,61705
14 Canterbury Ct Apt 6,7995,2,0,2,3054550,Bloomington,1,-1.0,30,100000,Condo/Townhome/Row Home/Co-Op,1106,61701
19417 Lakewood Dr,7995,2,1,4,3054550,Bloomington,3,24393.600000000002,30,265000,Single Family Home,3442,61705
1217 N Oak St,2986569,1,0,2,1571726,Bloomington,1,-1.0,27,93000,Single Family Home,1730,61701
1114 W Macarthur Ave,423198,2,1,3,-1,Bloomington,1,-1.0,17,83000,Single Family Home,1453,61701
17 Buckhurst,22772,3,1,4,1295017,Bloomington,3,-1.0,30,329900,Single Family Home,4571,61704
34 Ravenwood Cir,1279681,2,1,4,1571726,Bloomington,2,-1.0,28,229900,Single Family Home,3678,61704
903-905 W Market,1887422,0,0,2,1571726,Bloomington,-1,-1.0,18,44900,Multi-Family Home,790,61701
909 W Market St,1887422,0,0,5,1571726,Bloomington,-1,-1.0,15,64000,Multi-Family Home,2412,61701
1925 Dunraven Rd,670891,2,0,2,1571726,Bloomington,2,-1.0,13,239000,Single Family Home,3320,61704
1205 N Madison St,-1,1,1,2,-1,Bloomington,1,-1.0,4,108500,Single Family Home,1612,61701
1116 Staghorne Way,418519,3,1,5,1571726,Bloomington,3,-1.0,1,339900,Single Family Home,3519,61705
30 Knollbrook Ct,1295099,3,1,5,1295017,Bloomington,3,-1.0,29,349900,Single Family Home,5201,61705
816 E Walnut St,1440709,1,0,2,712753,Bloomington,2,-1.0,26,87500,Single Family Home,1210,61701
10 Willedrob Rd Unit 3,744586,1,0,2,3054550,Bloomington,1,-1.0,17,51900,Condo/Townhome/Row Home/Co-Op,810,61701
1301 Cadwell Dr,486538,1,1,3,-1,Bloomington,2,-1.0,14,132900,Single Family Home,1465,61704
606 N East St,578141,2,0,4,1295017,Bloomington,-1,-1.0,1,30900,Single Family Home,3172,61701
210 Orleans Dr,1365275,3,0,3,1207437,Bloomington,2,-1.0,30,214900,Single Family Home,4216,61701
3007 Ridge Crest Dr,4396,2,1,4,1295017,Bloomington,2,-1.0,30,209900,Single Family Home,3221,61704
2517 Timber View Dr,1231308,3,1,4,1295017,Bloomington,3,-1.0,30,174900,Single Family Home,2950,61701
304 Granada Rd,1231308,3,0,4,1295017,Bloomington,2,-1.0,30,175000,Single Family Home,3447,61701
1411 Norma Dr,523649,3,1,4,1295017,Bloomington,3,-1.0,28,250000,Single Family Home,3308,61704
1108 E Jefferson St,420364,1,1,3,1280142,Bloomington,1,-1.0,25,97500,Condo/Townhome/Row Home/Co-Op,1391,61701
512 Seminary Ave,5040,1,0,3,1295017,Bloomington,-1,-1.0,16,57400,Single Family Home,1413,61701
Old Peoria Rd,111130,0,0,0,1207437,Bloomington,-1,102801.59999999999,1,110000,Land,-1.0,61704
Old Peoria Rd,111130,0,0,0,1207437,Bloomington,-1,235224.00000000003,1,164900,Land,-1.0,61704
Old Peoria Rd,111130,0,0,0,1207437,Bloomington,-1,77536.8,1,79900,Land,-1.0,61705
11 Buckingham Ct,1319879,2,1,4,1571726,Bloomington,2,-1.0,30,220000,Single Family Home,4495,61704
1306 Tearose Ln,1824976,3,1,4,1571726,Bloomington,2,-1.0,30,219900,Single Family Home,3468,61704
2005 Gailey Ln,1295113,3,1,5,1295017,Bloomington,3,-1.0,27,379000,Single Family Home,4481,61704
607 Bradley Dr,523649,2,2,6,1295017,Bloomington,1,-1.0,13,149900,Single Family Home,3960,61701
1409 N Oak St,591989,2,0,3,1280142,Bloomington,1,-1.0,26,95000,Single Family Home,2473,61701
2503 Blarney Stone Ln,1571761,2,2,4,1571726,Bloomington,2,-1.0,23,249999,Single Family Home,3461,61704
1202 Eastholme Ave,803691,1,0,2,1295017,Bloomington,2,-1.0,12,104900,Single Family Home,2040,61701
