address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
1218 Searle Dr,5295,1,1,3,1207437,Normal,1,9148,29,135900,Single Family Home,1608,61761
10 Payne Pl,860512,1,0,2,712753,Normal,1,-1.0,30,123900,Single Family Home,2222,61761
1511 Ironwood,430485,2,1,4,3054550,Normal,2,-1.0,30,239500,Single Family Home,3271,61761
807 Dresser Dr,523674,2,2,4,712753,Normal,2,-1.0,29,225000,Single Family Home,3180,61761
1629 Hovey Ave,2299014,2,1,3,1571726,Normal,2,-1.0,25,148000,Single Family Home,2481,61761
1506 Northbrook Dr Apt 202,1301728,2,0,2,1280142,Normal,1,-1.0,29,55000,Condo/Townhome/Row Home/Co-Op,1095,61761
1026 Stags Leap Rd,1346837,2,1,4,1280142,Normal,2,7405,30,259900,Single Family Home,3241,61761
2348 Cascade Ct,861956,2,0,3,712753,Normal,2,-1.0,28,259900,Single Family Home,4264,61761
1081 Canyon Creek Rd,1222389,2,1,4,1280142,Normal,2,-1.0,27,217500,Single Family Home,3004,61761
1058 Mugho Ct,744586,4,0,5,3054550,Normal,2,-1.0,30,429900,Single Family Home,4320,61761
1210 Duck Horn Dr,1450930,2,1,4,1571726,Normal,3,-1.0,30,269900,Single Family Home,3217,61761
24 Broadway Pl,1231308,1,1,3,1295017,Normal,1,-1.0,29,139900,Single Family Home,1839,61761
400 Plumage Ct,1207564,2,2,4,1207437,Normal,2,-1.0,30,224900,Single Family Home,3218,61761
700 N Adelaide St Apt 109,1728387,2,1,3,1295017,Normal,-1,-1.0,11,67900,Condo/Townhome/Row Home/Co-Op,1288,61761
206 Pine St,1728387,0,0,4,1295017,Normal,-1,-1.0,6,145000,Multi-Family Home,1568,61761
1705 King Dr Apt D,1345180,1,1,3,-1,Normal,1,-1.0,22,98000,Condo/Townhome/Row Home/Co-Op,1728,61761
1548 Hunt Dr Apt C,430485,1,1,3,3054550,Normal,1,-1.0,30,98500,Condo/Townhome/Row Home/Co-Op,1692,61761
1425 Hanson Dr,15043,2,1,3,1295017,Normal,2,-1.0,19,139900,Single Family Home,1872,61761
2440 Corinth Ln,1365275,2,1,4,1207437,Normal,2,-1.0,25,274900,Single Family Home,3142,61761
2740 Sedona Dr,1346837,2,0,3,1280142,Normal,3,10454.4,30,274900,Single Family Home,3404,61761
305 Gambel Ct,430485,3,1,4,3054550,Normal,2,-1.0,30,224900,Single Family Home,3436,61761
2755 Sedona Dr,1346837,2,0,3,1280142,Normal,3,10018.800000000001,30,274900,Single Family Home,3370,61761
310 Thicket Pt,1220379,3,0,4,1295017,Normal,2,-1.0,30,249900,Single Family Home,3088,61761
1014 Granite Way,430485,3,1,5,3054550,Normal,3,-1.0,30,314000,Single Family Home,3066,61761
2 Thomas Dr,-1,4,1,4,-1,Normal,2,15245.999999999998,1,342000,Single Family Home,4628,61761
1815 Taft Dr,5184,1,1,3,3054550,Normal,1,-1.0,30,129900,Single Family Home,1537,61761
1706 Fraser Dr,2046247,3,1,5,712753,Normal,3,-1.0,21,263900,Single Family Home,3779,61761
1568 Hunt Dr Apt F,129980,1,1,3,1280142,Normal,1,-1.0,17,99750,Condo/Townhome/Row Home/Co-Op,1800,61761
1414 Chadwick Dr,1530743,1,1,3,712753,Normal,2,-1.0,27,144400,Single Family Home,1711,61761
1312 Courtland Ave,21881,2,0,3,1571726,Normal,2,-1.0,22,159900,Single Family Home,1504,61761
1024 Stags Leap Rd,1346837,3,0,4,1280142,Normal,2,-1.0,30,229900,Single Family Home,2216,61761
304 Margaret Ave,1416095,1,1,3,1571726,Normal,1,-1.0,30,137500,Single Family Home,2580,61761
3511 Saint Jean Rd,517390,2,1,4,1295017,Normal,2,-1.0,30,227900,Single Family Home,3576,61761
1625 Erin Dr,1200611,2,1,5,1571726,Normal,2,-1.0,30,124900,Single Family Home,2000,61761
101 W Stewart Pl,5040,0,0,4,1295017,Normal,-1,23958.000000000004,10,1450000,Multi-Family Home,11120,61761
410 N Main St,5040,0,0,3,1295017,Normal,-1,46609.200000000004,8,3240000,Multi-Family Home,19704,61761
1300 Dalton Dr,7995,1,0,3,3054550,Normal,1,-1.0,30,99900,Single Family Home,925,61761
1751 Lacebark Way,168825,2,0,2,1295017,Normal,2,-1.0,2,292000,Single Family Home,3418,61761
1301 Petaluma Dr,21881,2,0,3,1571726,Normal,2,-1.0,27,239900,Single Family Home,3036,61761
1002 S University St,591989,2,0,2,1280142,Normal,-1,-1.0,23,75000,Single Family Home,2330,61761
1755 Lacebark Way,1523933,2,0,2,1295017,Normal,2,-1.0,23,305000,Single Family Home,3418,61761
1403 Monterey Pine Dr,1523933,3,0,3,1295017,Normal,2,-1.0,17,295000,Single Family Home,3180,61761
1343 Pine Forest Dr,1523933,2,0,2,1295017,Normal,2,-1.0,1,267000,Single Family Home,3180,61761
1347 Pine Forest Dr,1523933,2,0,2,1295017,Normal,2,-1.0,1,289000,Single Family Home,3418,61761
1345 Pine Forest Dr,1523933,2,0,2,1295017,Normal,2,-1.0,1,285000,Single Family Home,3180,61761
1200 Maplewood Dr,1200611,2,0,3,1571726,Normal,2,-1.0,22,144900,Single Family Home,2378,61761
1513 N Main St,1101631,0,0,0,712753,Normal,-1,-1.0,1,500000,Land,-1.0,61761
1717B Linda Ln,748021,2,0,3,1207437,Normal,1,-1.0,24,107500,Condo/Townhome/Row Home/Co-Op,2068,61761
Pheasant Rdg Lot 352,523649,0,0,0,1295017,Normal,-1,-1.0,0,47500,Land,-1.0,61761
Pheasant Rdg Lot 353,523649,0,0,0,1295017,Normal,-1,-1.0,0,47500,Land,-1.0,61761
2007 Bramblewood Cc Ct,304379,2,1,4,712753,Normal,2,-1.0,30,244900,Single Family Home,3647,61761
1313 S Center St,1652473,0,0,0,-1,Normal,-1,28314.0,8,250000,Land,-1.0,61761
445 S Adelaide St,1295083,2,0,3,1295017,Normal,2,-1.0,27,134500,Single Family Home,1854,61761
1825 Truman Dr,1548431,2,0,4,1280142,Normal,1,-1.0,28,113500,Single Family Home,1716,61761
2011 Marina Dr,1117728,3,0,3,1571726,Normal,2,-1.0,14,154900,Single Family Home,2860,61761
902 N Linden St,591989,2,1,4,1280142,Normal,2,-1.0,25,110000,Single Family Home,2467,61761
1418 Montgomery St,7995,3,1,3,3054550,Normal,2,-1.0,30,135000,Single Family Home,2883,61761
