,address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
157,1310 Broad Creek Rd,159571,3,1,4,1571726,Bloomington,3,-1.0,30,284900,Single Family Home,3816.0,61704
158,3914 Lay Ln,7995,3,1,3,3054550,Bloomington,4,-1.0,30,349900,Single Family Home,3990.0,61705
159,1206 Janet Dr,1301728,2,1,4,1280142,Bloomington,3,-1.0,30,329000,Single Family Home,4080.0,61704
160,2001 Clearwater Ave,2202955,2,0,3,1280142,Bloomington,1,-1.0,28,160000,Single Family Home,2336.0,61704
161,601 W Chestnut St,1653754,2,0,3,1571726,Bloomington,1,-1.0,27,129900,Single Family Home,3865.0,61701
162,10326 Old Sawmill Rd,1295084,3,0,4,1295017,Bloomington,3,43560.0,26,364900,Single Family Home,4943.0,61705
163,22 Parkshores Dr,1231308,2,1,3,1295017,Bloomington,2,-1.0,25,189900,Single Family Home,2088.0,61701
164,505 S State St,1319879,1,1,4,1571726,Bloomington,2,-1.0,20,189900,Single Family Home,2592.0,61701
166,19105 Woodland Trl,1990797,2,1,4,1571726,Bloomington,3,47916.00000000001,30,399900,Single Family Home,4260.0,61705
167,121 Magoun St,1231308,1,0,2,1295017,Bloomington,2,25700.4,30,110000,Single Family Home,1455.0,61701
168,3009 Winchester Dr,1345179,2,0,4,1207437,Bloomington,2,-1.0,30,154900,Single Family Home,2303.0,61704
169,2810 Reed Rd,1220379,2,1,3,1295017,Bloomington,2,-1.0,27,167900,Single Family Home,2125.0,61704
170,2701 Stratmoor Dr,2046247,3,1,5,712753,Bloomington,2,-1.0,19,205000,Single Family Home,2719.0,61705
171,1013 W Wood St,5040,2,0,3,1295017,Bloomington,2,-1.0,17,117500,Single Family Home,2828.0,61701
172,1209 N Roosevelt Ave,523649,1,0,2,1295017,Bloomington,1,-1.0,3,69900,Single Family Home,2692.0,61701
173,9306 N 1750 East Rd,964233,3,0,4,1571726,Bloomington,2,914760.0,1,369000,Single Family Home,6300.0,61705
174,10 Timberlake Rd,43657,5,1,5,1207437,Bloomington,2,-1.0,30,378500,Single Family Home,5753.0,61704
175,3215 Wisteria Ln,1263684,3,1,5,1571726,Bloomington,3,-1.0,30,434900,Single Family Home,4923.0,61704
176,2603 Rainbow Ave,881654,2,1,3,1280142,Bloomington,2,-1.0,30,174900,Single Family Home,2249.0,61704
177,21 Pembrook Cir,1295084,2,1,4,1295017,Bloomington,2,-1.0,30,194900,Single Family Home,3114.0,61704
178,3720 Helen Dr,2206294,3,1,5,1280142,Bloomington,3,-1.0,30,324900,Single Family Home,3498.0,61704
179,1302 Crown Ct,5187,3,1,5,1571726,Bloomington,3,-1.0,30,275000,Single Family Home,4296.0,61704
180,5017 Longfield Rd,192211,3,1,5,1280142,Bloomington,3,-1.0,30,314900,Single Family Home,3676.0,61705
181,1705 Sweetbriar Dr,1295106,2,1,3,1295017,Bloomington,2,-1.0,29,235000,Single Family Home,3787.0,61701
